Make,Model,Year,MSRP
Lexus,RC F,2017,64165
Chevrolet,Corvette,2015,64160
Porsche,Cayman,2016,64100
Chevrolet,Tahoe,2015,64085
Chevrolet,Corvette,2015,64000
BMW,M3,2017,64000
Lotus,Evora,2011,64000
Chevrolet,Corvette,2017,63905
Mercedes-Benz,C-Class,2015,63900
Alfa Romeo,4C,2015,63900
Porsche,Boxster,2016,63900
Chevrolet,Corvette,2016,63855
Porsche,Cayman,2015,63800
Porsche,Cayman,2014,63800
Cadillac,XTS,2017,63795
Chevrolet,Suburban,2015,63785
Cadillac,CTS,2015,63770
Cadillac,XTS,2016,63770
Infiniti,M,2013,63700
Audi,A6,2016,63700
BMW,X6,2017,63700
Lincoln,Navigator,2015,63645
Lexus,IS F,2014,63600
Cadillac,CTS-V,2014,63600
Mercedes-Benz,GL-Class,2015,63600
Mercedes-Benz,GL-Class,2016,63600
